method,bias,sd,rmse,n_valid,mean_loss
ht,-0.009713386229532439,0.4891675499247448,0.48926397963821305,100,
hajek,0.001478999140589965,0.20198554516032408,0.20199095992685215,100,
haipw-truth,0.002094271339382392,0.19780213761815169,0.1978132240745122,100,
haipw-one,-0.0008340346516446662,0.19768244920430797,0.19768420861873096,100,
linear,0.004016142066633255,0.046642486751286,0.04681507201151432,100,41266.29162707341
lasso,0.01688108688930512,0.023873388385875095,0.029238840052011383,100,33175.54967512418
mlp,0.011360304196850413,0.05902506793754442,0.06010836178500218,100,43159.38971965965
gat-linear,0.004223293379221504,0.04963793187581663,0.04981727097980367,100,43342.454518890416
gat-lasso,0.015691922125551094,0.043980149163849604,0.04669571651092658,100,39948.962623825355
gat-mlp,0.006512243431589404,0.17042174092047338,0.17054612013434148,100,190743.2215087026
